,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
1343,Massachusetts School of Professional Psychology,www.mspp.edu,221 Rivermoor St,Boston,Massachusetts,02132,"4-year, Private not-for-profit",364.0,Private,not-for-profit,0
1344,Maui Community College,www.maui.hawaii.edu/index.php,310 Kaahumanu Ave,Kahului,Hawaii,96732-1644,"4-year, primarily associate's, Public",3287.0,Public,not-for-profit,1
1345,Mayo Graduate School,www.mayo.edu/mgs/index.html,200 1st St SW,Rochester,Minnesota,55905,"4-year, Private not-for-profit",229.0,Private,not-for-profit,0
1346,Mayo Medical School,www.mayo.edu/mms/,200 1st St SW,Rochester,Minnesota,55905,"4-year, Private not-for-profit",169.0,Private,not-for-profit,0
1347,Mayo School of Health Sciences,www.mayo.edu/mshs/,200 First St SW,Rochester,Minnesota,55905,"4-year, Private not-for-profit",299.0,Private,not-for-profit,0
1348,Mayville State University,www.mayvillestate.edu,330 Third Street NE,Mayville,Dakota,58257-1299,"4-year, Public",789.0,Public,not-for-profit,0
1349,McCormick Theological Seminary,www.mccormick.edu,5460 S. University,Chicago,Illinois,60615,"4-year, Private not-for-profit",231.0,Private,not-for-profit,0
1350,McDaniel College,www.mcdaniel.edu,2 College Hill,Westminster,Maryland,21157,"4-year, Private not-for-profit",3789.0,Private,not-for-profit,0
1351,McKendree University,www.mckendree.edu,701 College Rd,Lebanon,Illinois,62254-1291,"4-year, Private not-for-profit",3257.0,Private,not-for-profit,0
1352,McMurry University,www.mcm.edu/,S 14th and Sayles Blvd,Abilene,Texas,79697,"4-year, Private not-for-profit",1515.0,Private,not-for-profit,0
1353,McNally Smith College of Music,www.mcnallysmith.edu,19 Exchange Street East,Saint Paul,Minnesota,55101-2220,"4-year, primarily associate's, Private for-profit",570.0,Private,for profit,1
1354,McNeese State University,www.mcneese.edu,4205 Ryan St,Lake Charles,Louisiana,70609-2215,"4-year, Public",8283.0,Public,not-for-profit,0
1355,McPherson College,www.mcpherson.edu,1600 E Euclid,McPherson,Kansas,67460-1402,"4-year, Private not-for-profit",595.0,Private,not-for-profit,0
1356,Meadville Lombard Theological School,www.meadville.edu,5701 South Woodlawn Avenue,Chicago,Illinois,60637,"4-year, Private not-for-profit",63.0,Private,not-for-profit,0
1357,Medaille College,www.medaille.edu,18 Agassiz Circle,Buffalo,York,14214-2695,"4-year, Private not-for-profit",2883.0,Private,not-for-profit,0
1358,Medcenter One College of Nursing,www.medcenterone.com/collegeofnursing,512 N 7th St,Bismarck,Dakota,58501-4425,"4-year, Private not-for-profit",91.0,Private,not-for-profit,0
1359,MedCentral College of Nursing,www.medcentral.edu,335 Glessner Ave,Mansfield,Ohio,44903-2265,"4-year, Private not-for-profit",391.0,Private,not-for-profit,0
1360,Medical College of Georgia,www.mcg.edu,1120 Fifteenth St,Augusta,Georgia,30912,"4-year, Public",2443.0,Public,not-for-profit,0
1361,Medical College of Wisconsin,www.mcw.edu,8701 Watertown Plank Rd,Milwaukee,Wisconsin,53226-0509,"4-year, Private not-for-profit",1228.0,Private,not-for-profit,0
1362,Medical University of South Carolina,www.musc.edu,179 Ashley Ave,Charleston,Carolina,29425,"4-year, Public",2528.0,Public,not-for-profit,0
1363,Meharry Medical College,www.mmc.edu,1005 DB TODD BLVD,NASHVILLE,Tennessee,37208,"4-year, Private not-for-profit",739.0,Private,not-for-profit,0
1364,Memphis College of Art,www.mca.edu,1930 Poplar Ave,Memphis,Tennessee,38104-2764,"4-year, Private not-for-profit",404.0,Private,not-for-profit,0
1365,Memphis Theological Seminary,www.memphisseminary.edu/,168 East Parkway South,Memphis,Tennessee,38104-4395,"4-year, Private not-for-profit",280.0,Private,not-for-profit,0
1366,Menlo College,www.menlo.edu,1000 El Camino Real,Atherton,California,94027-4301,"4-year, Private not-for-profit",666.0,Private,not-for-profit,0
1367,Mennonite Brethren Biblical Seminary,www.mbseminary.edu,4824 E Butler,Fresno,California,93727-5097,"4-year, Private not-for-profit",144.0,Private,not-for-profit,0
1368,Mercer University,www.mercer.edu,1400 Coleman Avenue,Macon,Georgia,31207,"4-year, Private not-for-profit",7622.0,Private,not-for-profit,0
1369,Mercy College,mercy.edu,555 Broadway,Dobbs Ferry,York,10522,"4-year, Private not-for-profit",9043.0,Private,not-for-profit,0
1370,Mercy College of Health Sciences,www.mchs.edu,928 Sixth Ave,Des Moines,Iowa,50309-1239,"4-year, primarily associate's, Private not-for-profit",669.0,Private,0,1
1371,Mercy College of Northwest Ohio,www.mercycollege.edu,2221 Madison Avenue,Toledo,Ohio,43604-1132,"4-year, primarily associate's, Private not-for-profit",921.0,Private,0,1
1372,Mercyhurst College,www.mercyhurst.edu,501 E 38th St,Erie,Pennsylvania,16546,"4-year, Private not-for-profit",4326.0,Private,not-for-profit,0
1373,Meredith College,www.meredith.edu,3800 Hillsborough St,Raleigh,Carolina,27607-5298,"4-year, Private not-for-profit",2250.0,Private,not-for-profit,0
1374,Merrimack College,www.merrimack.edu,315 Turnpike St,North Andover,Massachusetts,01845,"4-year, Private not-for-profit",2143.0,Private,not-for-profit,0
1375,Mesa State College,www.mesastate.edu,1100 North Avenue,Grand Junction,Colorado,81501-3122,"4-year, Public",6262.0,Public,not-for-profit,0
1376,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,,510 Dahill Rd,Brooklyn,York,11218,"4-year, Private not-for-profit",39.0,Private,not-for-profit,0
1377,Mesivta Torah Vodaath Rabbinical Seminary,,425 E 9th St,Brooklyn,York,11218,"4-year, Private not-for-profit",265.0,Private,not-for-profit,0
1378,Mesivtha Tifereth Jerusalem of America,,145 E Broadway,New York,York,10002-6301,"4-year, Private not-for-profit",93.0,Private,not-for-profit,0
1379,Messenger College,www.messengercollege.edu,300 E 50th St,Joplin,Missouri,64804-4909,"4-year, Private not-for-profit",71.0,Private,not-for-profit,0
1380,Messiah College,www.messiah.edu,One College Ave,Grantham,Pennsylvania,17027,"4-year, Private not-for-profit",2802.0,Private,not-for-profit,0
1381,Methodist College of Nursing,www.mcon.edu,415 St. Mark Court,Peoria,Illinois,61603,"4-year, Private not-for-profit",126.0,Private,not-for-profit,0
1382,Methodist Theological School in Ohio,www.mtso.edu,3081 Columbus Pike,Delaware,Ohio,43015-3211,"4-year, Private not-for-profit",222.0,Private,not-for-profit,0
1383,Methodist University,www.methodist.edu,5400 Ramsey St,Fayetteville,Carolina,28311-1420,"4-year, Private not-for-profit",2190.0,Private,not-for-profit,0
1384,Metropolitan College of New York,www.mcny.edu,431 Canal St,New York,York,10013-1919,"4-year, Private not-for-profit",987.0,Private,not-for-profit,0
1385,Metropolitan State College of Denver,www.mscd.edu,Speer Blvd and Colfax Ave,Denver,Colorado,80217-3362,"4-year, Public",21729.0,Public,not-for-profit,0
1386,Metropolitan State University,www.metrostate.edu,700 E Seventh St,Saint Paul,Minnesota,55106-5000,"4-year, Public",6939.0,Public,not-for-profit,0
1387,MGH Institute of Health Professions,www.mghihp.edu,36 1st Avenue,Boston,Massachusetts,02129-4557,"4-year, Private not-for-profit",835.0,Private,not-for-profit,0
1388,Miami Dade College,www.mdc.edu/main/,300 NE 2nd Ave.,Miami,Florida,33132-2297,"4-year, primarily associate's, Public",57222.0,Public,not-for-profit,1
1389,Miami University-Hamilton,www.ham.muohio.edu,1601 University Blvd,Hamilton,Ohio,45011,"4-year, Public",2858.0,Public,not-for-profit,0
1390,Miami University-Middletown,www.mid.muohio.edu,4200 E University Blvd,Middletown,Ohio,45042,"4-year, Public",1965.0,Public,not-for-profit,0
1391,Miami University-Oxford,www.muohio.edu,500 High St,Oxford,Ohio,45056,"4-year, Public",17191.0,Public,not-for-profit,0
1392,Michigan Jewish Institute,www.mji.edu,25401 Coolidge Hwy,Oak Park,Michigan,48237,"4-year, primarily associate's, Private not-for-profit",71.0,Private,0,1
1393,Michigan School of Professional Psychology,www.mispp.edu,26811 Orchard Lake Rd.,Farmington Hills,Michigan,48334-4512,"4-year, Private not-for-profit",127.0,Private,not-for-profit,0
1394,Michigan State University,www.msu.edu,,East Lansing,Michigan,48824-1046,"4-year, Public",46510.0,Public,not-for-profit,0
1395,Michigan State University College of Law,www.law.msu.edu,368 Law College Bldg,East Lansing,Michigan,48824-1300,"4-year, Private not-for-profit",956.0,Private,not-for-profit,0
1396,Michigan Technological University,www.mtu.edu,1400 Townsend Drive,Houghton,Michigan,49931-1295,"4-year, Public",7009.0,Public,not-for-profit,0
1397,Michigan Theological Seminary,www.mts.edu,41550 E Ann Arbor Trail,Plymouth,Michigan,48170,"4-year, Private not-for-profit",184.0,Private,not-for-profit,0
1398,Mid-America Christian University,www.macu.edu,3500 SW 119th St,Oklahoma City,Oklahoma,73170-9797,"4-year, Private not-for-profit",997.0,Private,not-for-profit,0
1399,Mid-America College of Funeral Service,www.mid-america.edu,3111 Hamburg Pke,Jeffersonville,Indiana,47130,"4-year, primarily associate's, Private not-for-profit",77.0,Private,0,1
1400,MidAmerica Nazarene University,www.mnu.edu,2030 E College Way,Olathe,Kansas,66062-1899,"4-year, Private not-for-profit",1743.0,Private,not-for-profit,0
1401,Mid-Continent University,www.midcontinent.edu,99 Powell Rd E,Mayfield,Kentucky,42066-9007,"4-year, Private not-for-profit",1636.0,Private,not-for-profit,0
1402,Middle Georgia College,www.mgc.edu,1100 Second St SE,Cochran,Georgia,31014-1599,"4-year, primarily associate's, Public",3434.0,Public,not-for-profit,1
1403,Middle Tennessee School of Anesthesia Inc,www.MTSA.edu,315 Hospital Drive,Madison,Tennessee,37116,"4-year, Private not-for-profit",213.0,Private,not-for-profit,0
1404,Middle Tennessee State University,www.mtsu.edu,1301 East Main Street,Murfreesboro,Tennessee,37132,"4-year, Public",23872.0,Public,not-for-profit,0
1405,Middlebury College,www.middlebury.edu,Old Chapel,Middlebury,Vermont,05753,"4-year, Private not-for-profit",2455.0,Private,not-for-profit,0
1406,Midland College,www.midland.edu,3600 N Garfield,Midland,Texas,79705,"4-year, primarily associate's, Public",5795.0,Public,not-for-profit,1
1407,Midland Lutheran College,www.MLC.edu,900 N. Clarkson,Fremont,Nebraska,68025,"4-year, Private not-for-profit",803.0,Private,not-for-profit,0
1408,Midstate College,www.midstate.edu,411 W Northmoor Road,Peoria,Illinois,61614-3595,"4-year, primarily associate's, Private for-profit",647.0,Private,for profit,1
1409,Midway College,www.midway.edu,512 E. Stephens St,Midway,Kentucky,40347-1120,"4-year, Private not-for-profit",1283.0,Private,not-for-profit,0
1410,Midwest College of Oriental Medicine,www.Acupuncture.edu,Suite 206,Chicago,Illinois,60613-1429,"4-year, Private for-profit",156.0,Private,for profit,0
1411,Midwest College of Oriental Medicine,www.Acupuncture.edu,6232 Bankers Road,Racine,Wisconsin,53403-9747,"4-year, Private for-profit",117.0,Private,for profit,0
1412,Midwest University,www.midwest.edu,851 Parr Rd,Wentzville,Missouri,63385,"4-year, Private not-for-profit",223.0,Private,not-for-profit,0
1413,Midwestern Baptist Theological Seminary,www.mbts.edu,5001 N. Oak Trafficway,Kansas City,Missouri,64118-4697,"4-year, Private not-for-profit",654.0,Private,not-for-profit,0
1414,Midwestern State University,www.mwsu.edu,3410 Taft Blvd,Wichita Falls,Texas,76308-2099,"4-year, Public",6093.0,Public,not-for-profit,0
1415,Midwestern University,www.midwestern.edu,555 31st Street,Downers Grove,Illinois,60515-5514,"4-year, Private not-for-profit",1998.0,Private,not-for-profit,0
1416,Midwestern University,www.midwestern.edu,19555 N 59th Ave,Glendale,Arizona,85308,"4-year, Private not-for-profit",1787.0,Private,not-for-profit,0
1417,Miles College,www.miles.edu,5500 Myron Massey Blvd,Fairfield,Alabama,35064,"4-year, Private not-for-profit",1786.0,Private,not-for-profit,0
1418,Miller-Motte College,www.miller-motte.com,5000 Market Street,Wilmington,Carolina,28405,"4-year, primarily associate's, Private for-profit",737.0,Private,for profit,1
1419,Millersville University of Pennsylvania,www.millersville.edu,20 Dilworth Rd,Millersville,Pennsylvania,17551-0302,"4-year, Public",8320.0,Public,not-for-profit,0
1420,Milligan College,www.milligan.edu,Milligan Hwy,Milligan College,Tennessee,37682,"4-year, Private not-for-profit",1018.0,Private,not-for-profit,0
1421,Millikin University,www.millikin.edu,1184 W Main St,Decatur,Illinois,62522-2084,"4-year, Private not-for-profit",2344.0,Private,not-for-profit,0
1422,Mills College,www.mills.edu,5000 MacArthur Blvd,Oakland,California,94613,"4-year, Private not-for-profit",1476.0,Private,not-for-profit,0
1423,Millsaps College,www.millsaps.edu,1701 N State St,Jackson,Mississippi,39210-0001,"4-year, Private not-for-profit",1118.0,Private,not-for-profit,0
1424,Milwaukee Institute of Art & Design,www.miad.edu,273 E Erie St,Milwaukee,Wisconsin,53202-6003,"4-year, Private not-for-profit",669.0,Private,not-for-profit,0
1425,Milwaukee School of Engineering,www.msoe.edu,1025 N Broadway,Milwaukee,Wisconsin,53202-3109,"4-year, Private not-for-profit",2621.0,Private,not-for-profit,0
1426,Minneapolis College of Art and Design,WWW.MCAD.EDU,2501 Stevens Ave,Minneapolis,Minnesota,55404,"4-year, Private not-for-profit",741.0,Private,not-for-profit,0
1427,Minnesota School of Business,www.msbcollege.edu,2521 Pennington Drive NW,Rochester,Minnesota,55901,"4-year, primarily associate's, Private for-profit",715.0,Private,for profit,1
1428,Minnesota School of Business,,3680 Pheasant Ridge Dr NE,Blaine,Minnesota,55449,"4-year, primarily associate's, Private for-profit",751.0,Private,for profit,1
1429,Minnesota School of Business,www.msbcollege.edu,1401 W 76 St,Richfield,Minnesota,55423,"4-year, primarily associate's, Private for-profit",1665.0,Private,for profit,1
1430,Minnesota School of Business,www.msbcollege.edu,1455 County Rd 101 North,Plymouth,Minnesota,55447,"4-year, primarily associate's, Private for-profit",519.0,Private,for profit,1
1431,Minnesota School of Business-Brooklyn Center,www.msbcollege.edu,5910 Shingle Creek Pky,Brooklyn Center,Minnesota,55430,"4-year, primarily associate's, Private for-profit",688.0,Private,for profit,1
1432,Minnesota School of Business-Shakopee,www.msbcollege.edu,1200 Shakopee Town Square,Shakopee,Minnesota,55379,"4-year, primarily associate's, Private for-profit",502.0,Private,for profit,1
1433,Minnesota School of Business-Waite Park,www.msbcollege.edu,1201 2nd Street South,Waite Park,Minnesota,56387,"4-year, primarily associate's, Private for-profit",968.0,Private,for profit,1
1434,Minnesota State University-Mankato,www.mnsu.edu,South Rd and Ellis Ave,Mankato,Minnesota,56001,"4-year, Public",14621.0,Public,not-for-profit,0
1435,Minnesota State University-Moorhead,www.mnstate.edu,1104 7th Ave S,Moorhead,Minnesota,56563,"4-year, Public",7520.0,Public,not-for-profit,0
1436,Minot State University,www.minotstateu.edu,500 University Ave W,Minot,Dakota,58707,"4-year, Public",3432.0,Public,not-for-profit,0
1437,Mirrer Yeshiva Cent Institute,,1791-5 Ocean Pky,Brooklyn,York,11223-2010,"4-year, Private not-for-profit",289.0,Private,not-for-profit,0
1438,Misericordia University,www.misericordia.edu,301 Lake St,Dallas,Pennsylvania,18612-1098,"4-year, Private not-for-profit",2501.0,Private,not-for-profit,0
1439,Mississippi College,www.mc.edu,200 South Capitol Street,Clinton,Mississippi,39058,"4-year, Private not-for-profit",4741.0,Private,not-for-profit,0
1440,Mississippi State University,www.msstate.edu/,,Mississippi State,Mississippi,39762,"4-year, Public",17824.0,Public,not-for-profit,0
1441,Mississippi University for Women,www.muw.edu,1100 College Street,Columbus,Mississippi,39701,"4-year, Public",2365.0,Public,not-for-profit,0
1442,Mississippi Valley State University,www.mvsu.edu,14000 Highway 82 West,Itta Bena,Mississippi,38941-1400,"4-year, Public",2929.0,Public,not-for-profit,0
1443,Missouri Baptist University,www.mobap.edu,One College Park Dr,Saint Louis,Missouri,63141-8698,"4-year, Private not-for-profit",4614.0,Private,not-for-profit,0
1444,Missouri College,,1405 South Hanley,Brentwood,Missouri,63144,"4-year, primarily associate's, Private for-profit",510.0,Private,for profit,1
1445,Missouri Southern State University,www.mssu.edu,3950 E Newman Rd,Joplin,Missouri,64801-1595,"4-year, Public",5264.0,Public,not-for-profit,0
1446,Missouri State University,www.missouristate.edu,901 S National,Springfield,Missouri,65897,"4-year, Public",19489.0,Public,not-for-profit,0
1447,Missouri Tech,www.motech.edu,1167 Corporate Lake Dr,Saint Louis,Missouri,63132-1716,"4-year, primarily associate's, Private for-profit",150.0,Private,for profit,1
1448,Missouri University of Science and Technology,www.mst.edu/,1870 Miner Circle,Rolla,Missouri,65409,"4-year, Public",6367.0,Public,not-for-profit,0
1449,Missouri Valley College,www.moval.edu,500 E College St,Marshall,Missouri,65340,"4-year, Private not-for-profit",1727.0,Private,not-for-profit,0
1450,Missouri Western State University,www.missouriwestern.edu,4525 Downs Dr,Saint Joseph,Missouri,64507,"4-year, Public",5508.0,Public,not-for-profit,0
1451,Mitchell College,www.mitchell.edu,437 Pequot Ave,New London,Connecticut,06320,"4-year, Private not-for-profit",936.0,Private,not-for-profit,0
1452,Molloy College,www.molloy.edu,1000 Hempstead Ave,Rockville Centre,York,11571-5002,"4-year, Private not-for-profit",3879.0,Private,not-for-profit,0
1453,Monmouth College,www.monm.edu,700 E Broadway,Monmouth,Illinois,61462-1998,"4-year, Private not-for-profit",1328.0,Private,not-for-profit,0
1454,Monmouth University,www.monmouth.edu,400 Cedar Ave,West Long Branch,Jersey,07764-1898,"4-year, Private not-for-profit",6442.0,Private,not-for-profit,0
1455,Monroe College-Main Campus,www.monroecollege.edu,Monroe College Way,Bronx,York,10468,"4-year, primarily associate's, Private for-profit",4736.0,Private,for profit,1
1456,Monroe College-New Rochelle,www.monroecollege.edu,434 Main St,New Rochelle,York,10801,"4-year, Private for-profit",2164.0,Private,for profit,0
1457,Montana State University,www.montana.edu/,Montana State University,Bozeman,Montana,59717,"4-year, Public",11976.0,Public,not-for-profit,0
1458,Montana State University-Billings,www.msubillings.edu,1500 University Drive,Billings,Montana,59101-0298,"4-year, Public",3598.0,Public,not-for-profit,0
1459,Montana State University-Northern,WWW.MSUN.EDU,300 W 11th St,Havre,Montana,59501,"4-year, Public",1217.0,Public,not-for-profit,0
1460,Montana Tech of the University of Montana,www.mtech.edu,1300 W Park St,Butte,Montana,59701-8997,"4-year, Public",1980.0,Public,not-for-profit,0
1461,Montclair State University,www.montclair.edu,1 Normal Avenue - 855 Valley Road,Montclair,Jersey,07043-1624,"4-year, Public",17475.0,Public,not-for-profit,0
1462,Monterey Institute of International Studies,www.miis.edu,460 Pierce Street,Monterey,California,93940,"4-year, Private not-for-profit",849.0,Private,not-for-profit,0
1463,Montessori Education Center of the Rockies,www.mecr.edu,4745 Walnut Street,Boulder,Colorado,80301,"4-year, Private not-for-profit",75.0,Private,not-for-profit,0
1464,Montessori Institute of Milwaukee,www.montessori6-12ami.org,3195 S Superior St Ste L428,Milwaukee,Wisconsin,53207-3074,"4-year, Private not-for-profit",44.0,Private,not-for-profit,0
1465,Montreat College,www.montreat.edu,310 Gaither Circle,Montreat,Carolina,28757-1267,"4-year, Private not-for-profit",1113.0,Private,not-for-profit,0
1466,Montserrat College of Art,www.montserrat.edu,23 Essex Street,Beverly,Massachusetts,01915-4508,"4-year, Private not-for-profit",278.0,Private,not-for-profit,0
1467,Moore College of Art and Design,www.moore.edu,20th and the Parkway,Philadelphia,Pennsylvania,19103-1179,"4-year, Private not-for-profit",556.0,Private,not-for-profit,0
1468,Moravian College and Moravian Theological Seminary,www.moravian.edu,1200 Main St,Bethlehem,Pennsylvania,18018-6650,"4-year, Private not-for-profit",2040.0,Private,not-for-profit,0
1469,Morehead State University,www.moreheadstate.edu,University Blvd,Morehead,Kentucky,40351,"4-year, Public",8832.0,Public,not-for-profit,0
1470,Morehouse College,www.morehouse.edu,830 Westview Dr SW,Atlanta,Georgia,30314,"4-year, Private not-for-profit",2781.0,Private,not-for-profit,0
1471,Morehouse School of Medicine,www.msm.edu,720 Westview Dr SW,Atlanta,Georgia,30310-1495,"4-year, Private not-for-profit",322.0,Private,not-for-profit,0
1472,Morgan State University,www.morgan.edu,1700 East Cold Spring Lane,Baltimore,Maryland,21251-0001,"4-year, Public",7005.0,Public,not-for-profit,0
1473,Morningside College,www.morningside.edu,1501 Morningside Ave,Sioux City,Iowa,51106-1751,"4-year, Private not-for-profit",1906.0,Private,not-for-profit,0
1474,Morris College,www.morris.edu,100 West College Street,Sumter,Carolina,29150-3599,"4-year, Private not-for-profit",921.0,Private,not-for-profit,0
1475,Morrison University,www.morrison.anthem.edu,Second Floor,Reno,Nevada,89521,"4-year, Private for-profit",116.0,Private,for profit,0
1476,Morrisville State College,www.morrisville.edu,,Morrisville,York,13408,"4-year, primarily associate's, Public",3338.0,Public,not-for-profit,1
1477,Mount Aloysius College,www.mtaloy.edu/home/,7373 Admiral Peary Hwy,Cresson,Pennsylvania,16630-1999,"4-year, primarily associate's, Private not-for-profit",1644.0,Private,0,1
1478,Mount Angel Seminary,www.mountangelabbey.org/seminary/index.html,1 Abbey Dr,Saint Benedict,Oregon,97373-0505,"4-year, Private not-for-profit",142.0,Private,not-for-profit,0
1479,Mount Carmel College of Nursing,www.mccn.edu,127 So.  Davis Ave,Columbus,Ohio,43222-1504,"4-year, Private not-for-profit",731.0,Private,not-for-profit,0
1480,Mount Holyoke College,www.mtholyoke.edu,50 College Street,South Hadley,Massachusetts,01075-1489,"4-year, Private not-for-profit",2241.0,Private,not-for-profit,0
1481,Mount Ida College,www.mountida.edu,777 Dedham Street,Newton,Massachusetts,02459,"4-year, Private not-for-profit",1460.0,Private,not-for-profit,0
1482,Mount Marty College,www.mtmc.edu,1105 W. 8th Street,Yankton,Dakota,57078-3724,"4-year, Private not-for-profit",1180.0,Private,not-for-profit,0
1483,Mount Mary College,www.mtmary.edu,2900 N. Menomonee River Pky,Milwaukee,Wisconsin,53222-4597,"4-year, Private not-for-profit",1862.0,Private,not-for-profit,0
1484,Mount Mercy College,www.mtmercy.edu,1330 Elmhurst Dr NE,Cedar Rapids,Iowa,52402-4797,"4-year, Private not-for-profit",1555.0,Private,not-for-profit,0
1485,Mount Olive College,www.moc.edu,634 Henderson St,Mount Olive,Carolina,28365-0919,"4-year, Private not-for-profit",3390.0,Private,not-for-profit,0
1486,Mount Saint Mary College,www.msmc.edu,330 Powell Avenue,Newburgh,York,12550,"4-year, Private not-for-profit",2629.0,Private,not-for-profit,0
1487,Mount Sinai School of Medicine,www.mssm.edu,1 Gustave L Levy Place,New York,York,10029-6574,"4-year, Private not-for-profit",902.0,Private,not-for-profit,0
1488,Mount St Mary's College,www.msmc.la.edu,12001 Chalon Rd,Los Angeles,California,90049-1599,"4-year, Private not-for-profit",2363.0,Private,not-for-profit,0
1489,Mount St Mary's University,www.msmary.edu,16300 Old Emmitsburg Rd,Emmitsburg,Maryland,21727-7799,"4-year, Private not-for-profit",2079.0,Private,not-for-profit,0
1490,Mount St.  Mary's College - Doheny Campus,www.msmc.la.edu,10 Chester Pl.,Los Angeles,California,90007,"4-year, Private not-for-profit",,Private,not-for-profit,0
1491,Mount Union College,www.muc.edu,1972 Clark Ave.,Alliance,Ohio,44601-3993,"4-year, Private not-for-profit",2204.0,Private,not-for-profit,0
1492,Mount Vernon Nazarene University,www.mvnu.edu,800 Martinsburg Rd,Mount Vernon,Ohio,43050-9500,"4-year, Private not-for-profit",2558.0,Private,not-for-profit,0
1493,Mountain State University,www.mountainstate.edu,609 S Kanawha St,Beckley,Virginia,25801-9003,"4-year, Private not-for-profit",5108.0,Private,not-for-profit,0
1494,Mt Sierra College,www.mtsierra.edu,101 E Huntington Dr,Monrovia,California,91016,"4-year, Private for-profit",460.0,Private,for profit,0
1495,Muhlenberg College,www.muhlenberg.edu,2400 Chew Street,Allentown,Pennsylvania,18104,"4-year, Private not-for-profit",2492.0,Private,not-for-profit,0
1496,Multnomah University,www.multnomah.edu,8435 NE Glisan St,Portland,Oregon,97220,"4-year, Private not-for-profit",840.0,Private,not-for-profit,0
1497,Murray State University,www.murraystate.edu,218 Wells Hall,Murray,Kentucky,42071-3318,"4-year, Public",10014.0,Public,not-for-profit,0
1498,Musicians Institute,www.mi.edu,1655 McCadden,Hollywood,California,90028,"4-year, primarily associate's, Private for-profit",1206.0,Private,for profit,1
1499,Muskingum College,www.muskingum.edu,163 Stormont Street,New Concord,Ohio,43762,"4-year, Private not-for-profit",2135.0,Private,not-for-profit,0
1500,Naropa University,www.naropa.edu,2130 Arapahoe Ave,Boulder,Colorado,80302-6697,"4-year, Private not-for-profit",1075.0,Private,not-for-profit,0
1501,Nashotah House,www.nashotah.edu,2777 Mission Rd,Nashotah,Wisconsin,53058-9793,"4-year, Private not-for-profit",107.0,Private,not-for-profit,0
1502,National American University-Albuquerque,www.national.edu,Suite 200,Albuequerque,Mexico,87110-3976,"4-year, Private for-profit",354.0,Private,for profit,0
1503,National American University-Austin,www.national.edu,13801 North Mo Pac Expressway Suite 300,Austin,Texas,78727,"4-year, Private for-profit",51.0,Private,for profit,0
1504,National American University-Bloomington,www.national.edu,Suite 200,Bloomington,Minnesota,55425,"4-year, Private for-profit",270.0,Private,for profit,0
1505,National American University-Brooklyn Center,www.national.edu,Suite 100,Brooklyn Center,Minnesota,55430-4100,"4-year, Private for-profit",331.0,Private,for profit,0
1506,National American University-Colorado Springs,www.national.edu,5125 North Academy Boulevard,Colorado Springs,Colorado,80918-4001,"4-year, Private for-profit",276.0,Private,for profit,0
1507,National American University-Denver,www.national.edu,Suite 100,Denver,Colorado,80222-3308,"4-year, primarily associate's, Private for-profit",274.0,Private,for profit,1
1508,National American University-Ellsworth AFB Extension,www.national.edu,1000 Ellsworth Street  Suite 2400-B,Ellsworth AFB,Dakota,57706,"4-year, Private for-profit",324.0,Private,for profit,0
1509,National American University-Independence,www.national.edu,3620 Arrowhead Avenue,Independence,Missouri,64057,"4-year, Private for-profit",424.0,Private,for profit,0
1510,National American University-Overland Park,www.national.edu,10310 Mastin,Overland Park,Kansas,66212-5451,"4-year, Private for-profit",309.0,Private,for profit,0
1511,National American University-Rapid City,www.national.edu,321 Kansas City Street,Rapid City,Dakota,57701-3692,"4-year, Private for-profit",1637.0,Private,for profit,0
1512,National American University-Rio Rancho,www.national.edu,Highway 528 & Sara Road,Rio Rancho,Mexico,87124-1903,"4-year, Private for-profit",163.0,Private,for profit,0
1513,National American University-Roseville,www.national.edu,1550 West Highway 36,Roseville,Minnesota,55113-4035,"4-year, primarily associate's, Private for-profit",322.0,Private,for profit,1
1514,National American University-Sioux Falls,www.national.edu,2801 South Kiwanis Ave,Sioux Falls,Dakota,57105-4293,"4-year, primarily associate's, Private for-profit",383.0,Private,for profit,1
1515,National American University-Wichita,www.national.edu,7309 E 21st St. N. Suite G40,Wichita,Kansas,67206,"4-year, Private for-profit",133.0,Private,for profit,0
1516,National American University-Zona Rosa,www.national.edu,7490 NW 87th Street,Kansas City,Missouri,64153,"4-year, primarily associate's, Private for-profit",318.0,Private,for profit,1
1517,National College of Business and Technology-Arecibo,www.nationalcollegepr.edu,Arecibo Centro Plz Ave Manuel Perez Aviles,Arecibo,Rico,00612,"4-year, primarily associate's, Private for-profit",1724.0,Private,for profit,1
1518,National College of Business and Technology-Bayamon,www.nationalcollegepr.edu,St Rd 2 National College Plaza Bldg. Km.,Bayamon,Rico,00960-2036,"4-year, primarily associate's, Private for-profit",2443.0,Private,for profit,1
1519,National College of Business and Technology-Rio Grande,www.nationalcollegepr.edu,Carr. #3 Km 22.01 - Barrio Cienaga Baja,Rio Grande,Rico,00745,"4-year, primarily associate's, Private for-profit",1505.0,Private,for profit,1
1520,National College of Natural Medicine,www.ncnm.edu,049 SW Porter Street,Portland,Oregon,97201-4848,"4-year, Private not-for-profit",71.0,Private,not-for-profit,0
1521,National College-Lexington,www.national-college.edu,2376 Sir Barton Way,Lexington,Kentucky,40509,"4-year, primarily associate's, Private for-profit",2723.0,Private,for profit,1
